entity;pathway
FAS;FasL/ CD95L signaling
FASLG;FasL/ CD95L signaling
UBA1;Regulation of necroptotic cell death
MLKL;Regulation of necroptotic cell death
UBE2L3;Regulation of necroptotic cell death
ITCH;Regulation of necroptotic cell death
PDCD6IP;Regulation of necroptotic cell death
SDCBP;Regulation of necroptotic cell death
RIPK1;Regulation of TNFR1 signaling
RIPK1;Regulation of necroptotic cell death
PRKN;Regulation of necroptotic cell death
PELI1;Regulation of necroptotic cell death
DIABLO;SMAC, XIAP-regulated apoptotic response
DIABLO;SMAC (DIABLO) binds to IAPs 
DIABLO;Release of apoptotic factors from the mitochondria
BAX;Activation, translocation and oligomerization of BAX
BID;Activation, translocation and oligomerization of BAX
BAX;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
BID;Activation, myristolyation of BID and translocation to mitochondria,Activation of BID and translocation to mitochondria
BID;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
BAK1;Activation and oligomerization of BAK protein
BID;Activation and oligomerization of BAK protein
DCC;Caspase activation via Dependence Receptors in the absence of ligand,Ligand-independent caspase activation via DCC
APPL1;Caspase activation via Dependence Receptors in the absence of ligand,Ligand-independent caspase activation via DCC
CASP9;Formation of apoptosome
CYCS;Formation of apoptosome
APAF1;TP53 Regulates Transcription of Caspase Activators and Caspases
CYCS;Pyroptosis
CYCS;Cytochrome c-mediated apoptotic response
CYCS;Release of apoptotic factors from the mitochondria
DFFB;Apoptosis induced DNA fragmentation
DFFA;Apoptosis induced DNA fragmentation
APC;Apoptotic cleavage of cellular proteins
PRKCQ;Apoptotic cleavage of cellular proteins
PTK2;Apoptotic cleavage of cellular proteins
SPTAN1;Caspase-mediated cleavage of cytoskeletal proteins
GAS2;Caspase-mediated cleavage of cytoskeletal proteins
DBNL;Caspase-mediated cleavage of cytoskeletal proteins
GSN;Caspase-mediated cleavage of cytoskeletal proteins
PLEC;Caspase-mediated cleavage of cytoskeletal proteins
VIM;Caspase-mediated cleavage of cytoskeletal proteins
ADD1;Caspase-mediated cleavage of cytoskeletal proteins
MAPT;Caspase-mediated cleavage of cytoskeletal proteins
CLSPN;Apoptotic cleavage of cellular proteins
DSG2;Apoptotic cleavage of cell adhesion  proteins
OCLN;Apoptotic cleavage of cell adhesion  proteins
DSG1;Apoptotic cleavage of cell adhesion  proteins
DSP;Apoptotic cleavage of cell adhesion  proteins
CDH1;Apoptotic cleavage of cell adhesion  proteins
PKP1;Apoptotic cleavage of cell adhesion  proteins
CTNNB1;Apoptotic cleavage of cell adhesion  proteins
TJP2;Apoptotic cleavage of cell adhesion  proteins
DSG3;Apoptotic cleavage of cell adhesion  proteins
TJP1;Apoptotic cleavage of cell adhesion  proteins
ROCK1;Apoptotic cleavage of cellular proteins
SATB1;Apoptotic cleavage of cellular proteins
LMNB1;Breakdown of the nuclear lamina
PRKCD;Apoptotic cleavage of cellular proteins
FNTA;Apoptotic cleavage of cellular proteins
BMX;Apoptotic cleavage of cellular proteins
BIRC2;Apoptotic cleavage of cellular proteins
BCAP31;Apoptotic cleavage of cellular proteins
STK24;Apoptotic cleavage of cellular proteins
ACIN1;Apoptotic cleavage of cellular proteins
STK26;Apoptotic cleavage of cellular proteins
DNM1L;Apoptotic execution phase
PAK2;Stimulation of the cell death response by PAK-2p34
STK24;Apoptotic execution phase
ARHGAP10;Regulation of PAK-2p34 activity by PS-GAP/RHG10
PAK2;Regulation of PAK-2p34 activity by PS-GAP/RHG10
PAK2;Regulation of activated PAK-2p34 by proteasome mediated degradation
OPA1;Regulation of Apoptosis
BMF;Activation of BMF and translocation to mitochondria
BAD;Activation of BAD and translocation to mitochondria 
BAD;AKT phosphorylates targets in the cytosol
BID;Activation of BAD and translocation to mitochondria 
BID;BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
BCL2;BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
BCL2L11;Activation of BIM and translocation to mitochondria 
PMAIP1;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
PMAIP1;Activation of NOXA and translocation to mitochondria
BBC3;Activation of PUMA and translocation to mitochondria
BBC3;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
BCL2L1;BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
JAK1;Interleukin-4 and Interleukin-13 signaling
IL4;Interleukin-4 and Interleukin-13 signaling
JAK2;Interleukin-4 and Interleukin-13 signaling
IL4R;Interleukin-4 and Interleukin-13 signaling
APIP;Regulation of the apoptosome activity
XIAP;Regulation of the apoptosome activity
AVEN;Regulation of the apoptosome activity
CASP9;Regulation of the apoptosome activity
CARD8;Regulation of the apoptosome activity
UACA;Regulation of the apoptosome activity
XIAP;SMAC, XIAP-regulated apoptotic response
XIAP;SMAC (DIABLO) binds to IAPs 
CDKN2A;Apoptotic factor-mediated response
NR4A1;AKT phosphorylates targets in the nucleus
RPS6KB2;AKT phosphorylates targets in the nucleus
CHUK;AKT phosphorylates targets in the cytosol
TSC2;AKT phosphorylates targets in the cytosol
AKT1S1;AKT phosphorylates targets in the cytosol
MKRN1;Regulation of PTEN stability and activity
MKRN1;AKT phosphorylates targets in the cytosol
CASP9;AKT phosphorylates targets in the cytosol
AKT1;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
IER3;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
PTEN;Regulation of PTEN stability and activity
TRIM27;Regulation of PTEN stability and activity
FRK;Regulation of PTEN stability and activity
PREX2;Regulation of PTEN stability and activity
PTPN11;GAB1 signalosome
PAG1;GAB1 signalosome
CSK;GAB1 signalosome
CBL;EGFR downregulation
SPRY2;EGFR downregulation
EPS15L1;EGFR downregulation
EPN1;EGFR downregulation
AAMP;Signaling by EGFR,Epidermal Growth Factor Receptor (EGFR) signaling
AAMP;Signaling by VEGF,Signaling by Vascular Epithelial Growth Factors (VEGF)
NBEA;PKA activation
PRKAR2A;PKA activation
GRK2;Calmodulin induced events
RCE1;RAS processing
PDE6D;RAS processing
BCL2L1;RAS processing
IL17RD;MAP2K and MAPK activation
MAPK12;Negative regulation of MAPK pathway
PTPN3;Negative regulation of MAPK pathway
PTPN7;Negative regulation of MAPK pathway
PAQR3;Negative regulation of MAPK pathway
PEBP1;Negative regulation of MAPK pathway
BRAP;Negative regulation of MAPK pathway
BRAF;Negative feedback regulation of MAPK pathway
RAF1;Negative feedback regulation of MAPK pathway
NF1;Regulation of RAS by GAPs
PTPN12;SHC1 events in ERBB2 signaling
PLCG1;PLCG1 events in ERBB2 signaling
MATK;Downregulation of ERBB2 signaling
RNF41;Downregulation of ERBB2:ERBB3 signaling
USP8;Downregulation of ERBB2:ERBB3 signaling
PTPN18;Downregulation of ERBB2 signaling
GRB7;GRB7 events in ERBB2 signaling
MEMO1;ERBB2 Regulates Cell Motility
DAAM1;PCP/CE pathway
DAAM1;RHO GTPases Activate Formins
SRGAP2;RHO GTPases Activate Formins
MRTFA;RHO GTPases Activate Formins
SCAI;RHO GTPases Activate Formins
SRF;RHO GTPases Activate Formins
ITGB1;RHO GTPases Activate Formins
PECAM1;PECAM1 interactions
PECAM1;Integrin cell surface interactions
VTN;Integrin cell surface interactions
BSG;Basigin interactions
BSG;Integrin cell surface interactions
FN1;Integrin cell surface interactions
VCAM1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
VCAM1;Integrin cell surface interactions
HSPG2;Integrin cell surface interactions
THBS1;Integrin cell surface interactions
LUM;Integrin cell surface interactions
AGRN;Integrin cell surface interactions
CDH1;Integrin cell surface interactions
FBN1;Integrin cell surface interactions
JAM2;Cell surface interactions at the vascular wall
JAM3;Cell surface interactions at the vascular wall
JAM3;Integrin cell surface interactions
SPP1;Integrin cell surface interactions
TNC;Integrin cell surface interactions
IBSP;Integrin cell surface interactions
CD44;Integrin cell surface interactions
F11R;Cell surface interactions at the vascular wall
F11R;Integrin cell surface interactions
KDR;Integrin cell surface interactions
MAP3K7;Ca2+ pathway
NLK;Ca2+ pathway
PRKCA;Ca2+ pathway
NFATC1;Ca2+ pathway
WNT5A;Asymmetric localization of PCP proteins
PRICKLE1;Asymmetric localization of PCP proteins
FZD3;Asymmetric localization of PCP proteins
SCRIB;Asymmetric localization of PCP proteins
VANGL2;Asymmetric localization of PCP proteins
RYK;PCP/CE pathway
VANGL2;PCP/CE pathway
WNT5A;PCP/CE pathway
WNT5A;WNT5A-dependent internalization of FZD2, FZD5 and ROR2
ARRB2;WNT5A-dependent internalization of FZD4
DVL2;WNT5A-dependent internalization of FZD4
FZD4;WNT5A-dependent internalization of FZD4
WNT5A;WNT5A-dependent internalization of FZD4
PFN1;PCP/CE pathway
ROR2;PCP/CE pathway
RBBP5;Deactivation of the beta-catenin transactivating complex
MEN1;Deactivation of the beta-catenin transactivating complex
ASH2L;Deactivation of the beta-catenin transactivating complex
KMT2D;Deactivation of the beta-catenin transactivating complex
BTRC;Deactivation of the beta-catenin transactivating complex
APC;Deactivation of the beta-catenin transactivating complex
CTBP1;Deactivation of the beta-catenin transactivating complex
RBBP5;Formation of the beta-catenin:TCF transactivating complex
MEN1;Formation of the beta-catenin:TCF transactivating complex
ASH2L;Formation of the beta-catenin:TCF transactivating complex
KMT2D;Formation of the beta-catenin:TCF transactivating complex
CTNNB1;Formation of the beta-catenin:TCF transactivating complex
HDAC1;Formation of the beta-catenin:TCF transactivating complex
CTNNB1;TCF dependent signaling in response to WNT
CSNK1A1;Disassembly of the destruction complex and recruitment of AXIN to the membrane
AMER1;Disassembly of the destruction complex and recruitment of AXIN to the membrane
APC;Disassembly of the destruction complex and recruitment of AXIN to the membrane
CTNNB1;Disassembly of the destruction complex and recruitment of AXIN to the membrane
YWHAZ;Deactivation of the beta-catenin transactivating complex
CTNNB1;Deactivation of the beta-catenin transactivating complex
CBY1;Deactivation of the beta-catenin transactivating complex
XPO1;Deactivation of the beta-catenin transactivating complex
XIAP;Deactivation of the beta-catenin transactivating complex
CHD8;Deactivation of the beta-catenin transactivating complex
CTNNBIP1;Deactivation of the beta-catenin transactivating complex
CXXC4;Negative regulation of TCF-dependent signaling by DVL-interacting proteins
CCDC88C;Negative regulation of TCF-dependent signaling by DVL-interacting proteins
GSK3B;Disassembly of the destruction complex and recruitment of AXIN to the membrane
RYK;TCF dependent signaling in response to WNT
DVL1;Degradation of DVL
HECW1;Degradation of DVL
DACT1;Degradation of DVL
DVL2;Degradation of DVL
SMURF2;Degradation of AXIN
RNF146;Degradation of AXIN
WNT3A;Negative regulation of TCF-dependent signaling by WNT ligand antagonists
WIF1;Negative regulation of TCF-dependent signaling by WNT ligand antagonists
SOST;Negative regulation of TCF-dependent signaling by WNT ligand antagonists
TERT;Formation of the beta-catenin:TCF transactivating complex
SMARCA4;Formation of the beta-catenin:TCF transactivating complex
KAT5;Formation of the beta-catenin:TCF transactivating complex
TRRAP;Formation of the beta-catenin:TCF transactivating complex
RUVBL1;Formation of the beta-catenin:TCF transactivating complex
AXIN2;Binding of TCF/LEF:CTNNB1 to target gene promoters
LEO1;Formation of the beta-catenin:TCF transactivating complex
CDC73;Formation of the beta-catenin:TCF transactivating complex
PIP5K1B;WNT mediated activation of DVL
CTNNB1;Degradation of beta-catenin by the destruction complex
CSNK1A1;Degradation of beta-catenin by the destruction complex
AMER1;Degradation of beta-catenin by the destruction complex
AXIN1;Degradation of beta-catenin by the destruction complex
APC;Degradation of beta-catenin by the destruction complex
GSK3B;Degradation of beta-catenin by the destruction complex
ZRANB1;Ovarian tumor domain proteases
ZRANB1;Degradation of beta-catenin by the destruction complex
APC;Ovarian tumor domain proteases
TLE5;Repression of WNT target genes
HDAC1;Repression of WNT target genes
SNX3;WNT ligand biogenesis and trafficking
ANGPTL4;Regulation of CDH11 function
CDH11;Regulation of CDH11 function
CTNND1;Regulation of CDH11 function
CDH11;Regulation of CDH11 mRNA translation by microRNAs
CTNNA1;Regulation of CDH11 function
CTNNB1;Regulation of CDH11 function
BHLHE22;Regulation of CDH11 gene transcription
HEYL;Regulation of CDH11 gene transcription
HOXC8;Regulation of CDH11 gene transcription
ILF3;Regulation of CDH11 gene transcription
SP1;Regulation of CDH11 gene transcription
ZEB2;Regulation of CDH11 gene transcription
FOXF1;Regulation of CDH11 gene transcription
PRDM8;Regulation of CDH11 gene transcription
ZC3H12A;Regulation of CDH19 Expression and Function
CDH19;Regulation of CDH19 Expression and Function
CTNNA1;Regulation of CDH19 Expression and Function
CTNND1;Regulation of CDH19 Expression and Function
SOX10;Regulation of CDH19 Expression and Function
ANG;Adherens junctions interactions
CADM3;Nectin/Necl  trans heterodimerization
NECTIN1;Nectin/Necl  trans heterodimerization
CADM1;Nectin/Necl  trans heterodimerization
NECTIN3;Nectin/Necl  trans heterodimerization
PVR;Nectin/Necl  trans heterodimerization
CTNNA1;Adherens junctions interactions
CTNND1;Adherens junctions interactions
SDK1;SDK interactions
SDK2;SDK interactions
F11R;Tight junction interactions
ILK;Localization of the PINCH-ILK-PARVIN complex to focal adhesions
ILK;Cell-extracellular matrix interactions
PXN;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
PXN;Localization of the PINCH-ILK-PARVIN complex to focal adhesions
PARVA;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
PARVA;Localization of the PINCH-ILK-PARVIN complex to focal adhesions
ITGB1;Localization of the PINCH-ILK-PARVIN complex to focal adhesions
RSU1;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
LIMS1;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
TESK1;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
PARVB;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
ACTN1;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
ARHGEF6;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
FBLIM1;Cell-extracellular matrix interactions
FERMT2;Cell-extracellular matrix interactions
VASP;Cell-extracellular matrix interactions
CD151;Type I hemidesmosome assembly
COL17A1;Type I hemidesmosome assembly
PLEC;Type I hemidesmosome assembly
STAP2;PTK6 Activates STAT3
PTK6;PTK6 Activates STAT3
STAT3;PTK6 Activates STAT3
STAT3;Signaling by Leptin
STAT3;MET activates STAT3
LEP;Signaling by Leptin
SOCS3;PTK6 Activates STAT3
GPNMB;PTK6 promotes HIF1A stabilization
HIF1A;PTK6 promotes HIF1A stabilization
PTK6;PTK6 promotes HIF1A stabilization
LRRK2;PTK6 promotes HIF1A stabilization
PTPN1;PTK6 Down-Regulation
PTK6;PTK6 Down-Regulation
RASA1;PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
ARHGAP35;PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
BCAR1;PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
AKT1;PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
PTK6;PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
DOK1;PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
CBL;PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
ARAP1;PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
SFPQ;PTK6 Regulates Proteins Involved in RNA Processing
PTK6;PTK6 Regulates Proteins Involved in RNA Processing
KHDRBS3;PTK6 Regulates Proteins Involved in RNA Processing
KHDRBS1;PTK6 Regulates Proteins Involved in RNA Processing
KHDRBS2;PTK6 Regulates Proteins Involved in RNA Processing
PAK2;RHO GTPases activate PAKs
VAV1;CD28 dependent Vav1 pathway
NCK1;DCC mediated attractive signaling
PTK2;DCC mediated attractive signaling
DCC;DCC mediated attractive signaling
NTN1;DCC mediated attractive signaling
MYLK;Smooth Muscle Contraction
MYLK;RHO GTPases activate PAKs
PAK1;Regulation of actin dynamics for phagocytic cup formation
PAK1;RHO GTPases activate PAKs
PAK3;RHO GTPases activate PAKs
ARHGEF1;G alpha (12/13) signalling events
ARHGEF12;G alpha (12/13) signalling events
LIMK1;Regulation of actin dynamics for phagocytic cup formation
LIMK1;RHO GTPases activate PAKs
NF2;RHO GTPases activate PAKs
CTTN;RHO GTPases activate PAKs
BAIAP2;FCGR3A-mediated phagocytosis
BAIAP2;VEGFA-VEGFR2 Pathway
BAIAP2;RHO GTPases Activate WASPs and WAVEs
BAIAP2;Regulation of actin dynamics for phagocytic cup formation
CRK;VEGFA-VEGFR2 Pathway
BCAR1;VEGFA-VEGFR2 Pathway
PTK2B;VEGFA-VEGFR2 Pathway
HSP90AA1;VEGFA-VEGFR2 Pathway
PTK2;VEGFA-VEGFR2 Pathway
SHB;VEGFA-VEGFR2 Pathway
NGEF;EPHA-mediated growth cone collapse
PXN;VEGFA-VEGFR2 Pathway
AXL;VEGFA-VEGFR2 Pathway
SH2D2A;VEGFA-VEGFR2 Pathway
WAS;Generation of second messenger molecules
CFL1;Sema3A PAK dependent Axon repulsion
CFL1;Regulation of actin dynamics for phagocytic cup formation
LIMK1;Sema3A PAK dependent Axon repulsion
CFL1;EPHB-mediated forward signaling
CFL1;RHO GTPases Activate ROCKs
ARHGEF28;EPHB-mediated forward signaling
PTK2;EPHB-mediated forward signaling
NRP1;SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
FARP2;SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
FES;SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
TLN1;SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
CD72;Other semaphorin interactions
SEMA4D;Other semaphorin interactions
SEMA6D;Other semaphorin interactions
SEMA4A;Other semaphorin interactions
PLXND1;Other semaphorin interactions
SEMA6A;Other semaphorin interactions
PTPRC;Other semaphorin interactions
SEMA7A;Other semaphorin interactions
PLXNC1;Other semaphorin interactions
SEMA5A;Other semaphorin interactions
PLXNB3;Other semaphorin interactions
SEMA3E;Other semaphorin interactions
ARHGAP35;Sema4D mediated inhibition of cell attachment and migration
MYO6;Trafficking of AMPA receptors
DLG1;Trafficking of AMPA receptors
EPB41L1;Trafficking of AMPA receptors
AKAP5;Trafficking of AMPA receptors
PICK1;Trafficking of GluR2-containing AMPA receptors
RAB3A;Glutamate Neurotransmitter Release Cycle
SLC17A7;Glutamate Neurotransmitter Release Cycle
CPLX1;Glutamate Neurotransmitter Release Cycle
SYT1;Glutamate Neurotransmitter Release Cycle
STX1A;Glutamate Neurotransmitter Release Cycle
SNAP25;Glutamate Neurotransmitter Release Cycle
GRIN2A;Assembly and cell surface presentation of NMDA receptors
GRIN1;Assembly and cell surface presentation of NMDA receptors
GRIN2B;Assembly and cell surface presentation of NMDA receptors
GRIN2D;Assembly and cell surface presentation of NMDA receptors
GRIN2C;Assembly and cell surface presentation of NMDA receptors
GRIN3A;Assembly and cell surface presentation of NMDA receptors
NEFL;Assembly and cell surface presentation of NMDA receptors
DLG4;Assembly and cell surface presentation of NMDA receptors
GRIN3B;Assembly and cell surface presentation of NMDA receptors
DLG3;Assembly and cell surface presentation of NMDA receptors
NBEA;Assembly and cell surface presentation of NMDA receptors
LRRC7;Assembly and cell surface presentation of NMDA receptors
NRGN;Long-term potentiation
CALM1;Long-term potentiation
CAMK1;Activation of RAC1 downstream of NMDARs
CLEC5A;DAP12 interactions
CD300E;DAP12 interactions
TREM1;DAP12 interactions
TYROBP;Signal regulatory protein family interactions
SIRPB1;Signal regulatory protein family interactions
SIRPB1;DAP12 interactions
NCR2;DAP12 interactions
CD300LB;DAP12 interactions
BTK;DAP12 signaling
PTPN22;Phosphorylation of CD3 and TCR zeta chains
FYB1;Generation of second messenger molecules
NCK1;Generation of second messenger molecules
MALT1;FCERI mediated NF-kB activation
BCL10;FCERI mediated NF-kB activation
CARD11;FCERI mediated NF-kB activation
TRAF6;FCERI mediated NF-kB activation
PLCG2;CLEC7A (Dectin-1) signaling
SYK;CLEC7A (Dectin-1) signaling
CLEC7A;CLEC7A (Dectin-1) signaling
PRKCD;CLEC7A (Dectin-1) signaling
CARD9;CLEC7A (Dectin-1) signaling
BCL10;CLEC7A (Dectin-1) signaling
MALT1;CLEC7A (Dectin-1) signaling
TRAF6;CLEC7A (Dectin-1) signaling
UBA3;NIK-->noncanonical NF-kB signaling
UBA3;Dectin-1 mediated noncanonical NF-kB signaling
UBE2M;NIK-->noncanonical NF-kB signaling
UBE2M;Dectin-1 mediated noncanonical NF-kB signaling
NOS3;eNOS activation
CAV1;eNOS activation
HSP90AA1;VEGFR2 mediated vascular permeability
HSP90AA1;eNOS activation
CAV1;VEGFR2 mediated vascular permeability
AKT1;VEGFR2 mediated vascular permeability
AKT1;eNOS activation
NOSIP;NOSIP mediated eNOS trafficking
WASL;NOSTRIN mediated eNOS trafficking
DNM2;NOSTRIN mediated eNOS trafficking
USP7;Regulation of TP53 Degradation
DAXX;Regulation of TP53 Degradation
CCNG1;Regulation of TP53 Degradation
CDKN2A;Regulation of TP53 Degradation
USP2;Ub-specific processing proteases
USP2;Regulation of TP53 Degradation
BAP1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
MAPK8;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
APBB1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
UBXN1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
ABRAXAS1;Nonhomologous End-Joining (NHEJ)
UIMC1;Nonhomologous End-Joining (NHEJ)
BRCC3;Nonhomologous End-Joining (NHEJ)
BABAM2;Nonhomologous End-Joining (NHEJ)
BABAM1;Nonhomologous End-Joining (NHEJ)
PAXIP1;Nonhomologous End-Joining (NHEJ)
RIF1;Nonhomologous End-Joining (NHEJ)
NSD2;Nonhomologous End-Joining (NHEJ)
RNF168;Nonhomologous End-Joining (NHEJ)
PIAS4;Nonhomologous End-Joining (NHEJ)
TP53BP1;Nonhomologous End-Joining (NHEJ)
KAT5;Nonhomologous End-Joining (NHEJ)
HERC2;Nonhomologous End-Joining (NHEJ)
ATM;Nonhomologous End-Joining (NHEJ)
PRKDC;Nonhomologous End-Joining (NHEJ)
DCLRE1C;Nonhomologous End-Joining (NHEJ)
FEN1;HDR through MMEJ (alt-NHEJ)
DYRK2;Regulation of TP53 Activity through Phosphorylation
NOC2L;Regulation of TP53 Activity through Phosphorylation
AURKB;Regulation of TP53 Activity through Phosphorylation
NUAK1;Regulation of TP53 Activity through Phosphorylation
STK11;Regulation of TP53 Activity through Phosphorylation
HIPK1;Regulation of TP53 Activity through Phosphorylation
TP53INP1;Regulation of TP53 Activity through Phosphorylation
TP53INP1;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
ASF1A;Formation of Senescence-Associated Heterochromatin Foci (SAHF)
CABIN1;Formation of Senescence-Associated Heterochromatin Foci (SAHF)
UBN1;Formation of Senescence-Associated Heterochromatin Foci (SAHF)
HIRA;Formation of Senescence-Associated Heterochromatin Foci (SAHF)
HMGA2;Formation of Senescence-Associated Heterochromatin Foci (SAHF)
HMGA1;Formation of Senescence-Associated Heterochromatin Foci (SAHF)
CCND1;Ubiquitin-dependent degradation of Cyclin D
RB1;Inhibition of replication initiation of damaged DNA by RB1/E2F1
ERF;Oncogene Induced Senescence
ID1;Oncogene Induced Senescence
GSDME;Pyroptosis
GSDMD;Pyroptosis
CASP1;Interleukin-1 processing
CD36;Scavenging by Class B Receptors
CD14;Regulation of TLR by endogenous ligand
LBP;Regulation of TLR by endogenous ligand
TIRAP;MyD88:MAL(TIRAP) cascade initiated on plasma membrane
IL1RL1;Interleukin-33 signaling
IL33;Interleukin-33 signaling
IL18BP;Interleukin-37 signaling
IL37;Interleukin-37 signaling
TBK1;Interleukin-37 signaling
SIGIRR;Interleukin-37 signaling
IL18R1;Interleukin-37 signaling
SMAD3;Interleukin-37 signaling
STAT3;Interleukin-37 signaling
IL1RL2;Interleukin-36 pathway
IL1R1;Potential therapeutics for SARS
IL1R1;Interleukin-1 signaling
TOLLIP;Interleukin-1 signaling
TRAF6;Interleukin-1 signaling
NFKBIA;Interleukin-1 signaling
IRAK1;Interleukin-1 signaling
IRAK4;Interleukin-1 signaling
IRAK2;Interleukin-1 signaling
IL1RN;Interleukin-1 signaling
IL1R2;Interleukin-1 signaling
IL1F10;Interleukin-38 signaling
IL1RAPL1;Interleukin-38 signaling
MAPK8;Interleukin-38 signaling
IL1RL2;Interleukin-38 signaling
IL18;Interleukin-18 signaling
IL18R1;Interleukin-18 signaling
IL18RAP;Interleukin-18 signaling
IL18BP;Interleukin-18 signaling
JAK2;Growth hormone receptor signaling
GHR;Growth hormone receptor signaling
JAK2;Prolactin receptor signaling
PRLR;Prolactin receptor signaling
YAP1;Nuclear signaling by ERBB4
WWOX;Nuclear signaling by ERBB4
CSN2;Nuclear signaling by ERBB4
APOE;Nuclear signaling by ERBB4
S100B;Nuclear signaling by ERBB4
STMN1;Nuclear signaling by ERBB4
GFAP;Nuclear signaling by ERBB4
CXCL12;Estrogen-dependent gene expression
CXCL12;Nuclear signaling by ERBB4
SPARC;Nuclear signaling by ERBB4
PGR;Estrogen-dependent gene expression
PGR;Nuclear signaling by ERBB4
MXD4;Nuclear signaling by ERBB4
ADAP1;Nuclear signaling by ERBB4
NEDD4;Downregulation of ERBB4 signaling
SRC;Downregulation of ERBB4 signaling
YAP1;Signaling by Hippo,Hippo signaling cascade
YAP1;YAP1- and WWTR1 (TAZ)-stimulated gene expression
TEAD2;YAP1- and WWTR1 (TAZ)-stimulated gene expression
WWTR1;Signaling by Hippo,Hippo signaling cascade
WWTR1;YAP1- and WWTR1 (TAZ)-stimulated gene expression
TEAD1;YAP1- and WWTR1 (TAZ)-stimulated gene expression
TEAD3;YAP1- and WWTR1 (TAZ)-stimulated gene expression
TBX5;YAP1- and WWTR1 (TAZ)-stimulated gene expression
KAT2B;YAP1- and WWTR1 (TAZ)-stimulated gene expression
TEAD4;YAP1- and WWTR1 (TAZ)-stimulated gene expression
CBFB;Transcriptional regulation by RUNX2
TWIST1;Regulation of RUNX2 expression and activity
NKX3-2;Regulation of RUNX2 expression and activity
MSX2;Regulation of RUNX2 expression and activity
SOX9;Transcriptional regulation by RUNX2
RBM14;RUNX2 regulates bone development
ZFYVE16;Signaling by BMP
SMAD4;Signaling by BMP
YAP1;RUNX2 regulates osteoblast differentiation
HDAC3;RUNX2 regulates osteoblast differentiation
ZNF521;RUNX2 regulates osteoblast differentiation
WWTR1;RUNX2 regulates osteoblast differentiation
RB1;RUNX2 regulates osteoblast differentiation
SP7;RUNX2 regulates osteoblast differentiation
BGLAP;RUNX2 regulates osteoblast differentiation
MAF;RUNX2 regulates osteoblast differentiation
COL1A1;RUNX2 regulates osteoblast differentiation
HDAC6;RUNX2 regulates osteoblast differentiation
SATB2;RUNX2 regulates osteoblast differentiation
UCMA;RUNX2 regulates osteoblast differentiation
GLI3;RUNX2 regulates osteoblast differentiation
GLI3;Hedgehog 'off' state
SUFU;GLI3 is processed to GLI3R by the proteasome
GLI3;GLI3 is processed to GLI3R by the proteasome
GPR161;Hedgehog 'off' state
TULP3;Hedgehog 'off' state
SMAD6;RUNX2 regulates bone development
IHH;RUNX2 regulates chondrocyte maturation
GLI2;RUNX2 regulates chondrocyte maturation
SUFU;Hedgehog 'on' state
SUFU;Hedgehog 'off' state
GLI2;Hedgehog 'off' state
GLI1;Hedgehog 'off' state
ULK3;Hedgehog 'on' state
HDAC4;RUNX2 regulates chondrocyte maturation
STUB1;Regulation of RUNX2 expression and activity
WWP1;Regulation of RUNX2 expression and activity
HIVEP3;Regulation of RUNX2 expression and activity
STAT1;Regulation of RUNX2 expression and activity
GSK3B;Regulation of RUNX2 expression and activity
SMURF1;Regulation of RUNX2 expression and activity
RUNX1;Regulation of RUNX1 Expression and Activity
CBFB;Regulation of RUNX1 Expression and Activity
ELF2;RUNX1 regulates transcription of genes involved in BCR signaling
